Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2311207;MP;318;2;1049;23/06/2016;21:20;MC;1114;24/06/2016;07:35;MC
2311218;MP;321;2;1023;23/06/2016;22:20;MC;1148;24/06/2016;07:40;MC
2311220;MP;320;2;1043;23/06/2016;21:40;MC;1138;24/06/2016;07:15;MC
2311229;MP;320;2;1583;23/06/2016;22:20;MC;1340;24/06/2016;07:50;MC
2311230;MP;320;2;1195;23/06/2016;22:05;MC;1394;24/06/2016;07:15;MC
2311241;MP;321;2;1063;23/06/2016;22:05;MC;1382;24/06/2016;07:25;MC
2311263;3N;E90;0;1007;23/06/2016;21:50;MC;1306;24/06/2016;07:15;MC
2310623;MP;319;0;1089;23/06/2016;09:20;MC;1752;23/06/2016;10:20;MC
2310625;MP;318;1;1813;23/06/2016;12:30;MC;1712;23/06/2016;14:45;MC
2310626;3N;E90;0;1453;23/06/2016;18:00;MC;1718;23/06/2016;18:40;MC
2310628;MP;319;0;1213;23/06/2016;11:25;MC;1726;23/06/2016;12:35;MC
2310629;MP;320;0;1463;23/06/2016;09:10;MC;1734;23/06/2016;10:10;MC
2310630;MP;319;0;1855;23/06/2016;15:35;MC;1754;23/06/2016;16:25;MC
2310631;MP;318;0;1415;23/06/2016;09:05;MC;1722;23/06/2016;10:15;MC
2310632;3N;E70;0;1317;23/06/2016;19:20;MC;1724;23/06/2016;20:00;MC
2310633;MP;318;0;1367;23/06/2016;14:35;MC;1814;23/06/2016;16:10;MC
2310634;MP;318;0;1611;23/06/2016;07:55;MC;1812;23/06/2016;08:45;MC
2310635;MP;318;0;1751;23/06/2016;11:55;MC;1828;23/06/2016;12:55;MC
2310636;MP;319;0;7517;23/06/2016;11:25;MC;1832;23/06/2016;12:40;MC
2310638;MP;321;0;1641;23/06/2016;15:00;MC;1822;23/06/2016;15:55;MC
2310639;3N;E90;0;1019;23/06/2016;08:55;MC;1774;23/06/2016;09:40;MC
2310640;MP;318;0;1711;23/06/2016;16:40;MC;1766;23/06/2016;17:45;MC
2310641;3N;E70;0;7657;23/06/2016;19:55;MC;1764;23/06/2016;20:45;MC
2310643;3N;E70;0;1293;23/06/2016;15:50;MC;1810;23/06/2016;16:30;MC
2310644;MP;320;1;1669;23/06/2016;11:15;MC;1780;23/06/2016;13:25;MC
2310645;MP;319;0;1281;23/06/2016;20:00;MC;1784;23/06/2016;20:55;MC
2310646;MP;319;0;1165;23/06/2016;11:40;MC;1788;23/06/2016;12:35;MC
2310647;3N;E90;0;1377;23/06/2016;09:20;MC;1606;23/06/2016;10:15;MC
2310649;MP;318;0;1329;23/06/2016;19:35;MC;1610;23/06/2016;20:55;MC
2310651;MP;318;0;1229;23/06/2016;12:05;MC;1614;23/06/2016;12:55;MC
2310652;MP;319;0;1145;23/06/2016;11:45;MC;1588;23/06/2016;13:15;MC
2310653;MP;319;0;1653;23/06/2016;09:15;MC;1590;23/06/2016;10:00;MC
2310654;MP;319;0;1355;23/06/2016;10:55;MC;1596;23/06/2016;12:35;MC
2310655;MP;318;0;7739;23/06/2016;14:30;MC;1604;23/06/2016;15:25;MC
2310656;MP;318;0;7705;23/06/2016;11:05;MC;1600;23/06/2016;12:35;MC
2310659;3N;E90;0;1887;23/06/2016;09:30;MC;1686;23/06/2016;10:10;MC
2310660;3N;E90;0;1553;23/06/2016;09:15;MC;1618;23/06/2016;10:00;MC
2310661;MP;319;0;1789;23/06/2016;19:00;MC;1652;23/06/2016;19:45;MC
2310662;MP;318;0;1743;23/06/2016;14:20;MC;1666;23/06/2016;15:30;MC
2310663;MP;318;0;1067;23/06/2016;11:50;MC;1710;23/06/2016;12:45;MC
2310665;MP;319;0;7637;23/06/2016;19:45;MC;1694;23/06/2016;20:45;MC
2310666;MP;320;2;487;23/06/2016;05:30;LC;1620;23/06/2016;10:50;MC
2310667;MP;321;0;7725;23/06/2016;12:30;MC;1622;23/06/2016;13:25;MC
2310668;3N;E70;0;7655;23/06/2016;12:30;MC;1638;23/06/2016;13:15;MC
2310669;MP;321;0;1241;23/06/2016;10:45;MC;1640;23/06/2016;11:40;MC
2310670;MP;321;0;7621;23/06/2016;07:40;MC;1642;23/06/2016;08:30;MC
2310671;MP;321;0;1643;23/06/2016;11:40;MC;1648;23/06/2016;12:35;MC
2310672;MP;320;0;1013;23/06/2016;17:20;MC;1582;23/06/2016;18:15;MC
2310673;MP;321;0;1149;23/06/2016;12:10;MC;1624;23/06/2016;13:20;MC
2310674;MP;319;0;1411;23/06/2016;12:30;MC;1850;23/06/2016;13:20;MC
2310675;MP;319;1;1085;23/06/2016;13:15;MC;1844;23/06/2016;16:00;MC
2310676;MP;319;0;1391;23/06/2016;08:55;MC;1854;23/06/2016;09:45;MC
2310678;MP;318;0;1513;23/06/2016;09:10;MC;1842;23/06/2016;10:00;MC
2310679;MP;321;0;1349;23/06/2016;14:40;MC;1834;23/06/2016;15:35;MC
2310680;MP;319;1;1153;23/06/2016;08:45;MC;1890;23/06/2016;12:35;MC
2310682;3N;E90;0;1119;23/06/2016;20:00;MC;1886;23/06/2016;20:45;MC
2310683;MP;320;2;1121;23/06/2016;05:00;MC;1888;23/06/2016;10:25;MC
2310685;MP;320;0;7521;23/06/2016;12:05;MC;7528;23/06/2016;13:00;MC
2310686;3N;E90;0;1519;23/06/2016;11:55;MC;7534;23/06/2016;12:35;MC
2310687;3N;E90;0;7751;23/06/2016;08:00;MC;7536;23/06/2016;08:40;MC
2310688;3N;E70;0;1639;23/06/2016;17:40;MC;7532;23/06/2016;20:00;MC
2310689;MP;321;0;7523;23/06/2016;14:40;MC;7522;23/06/2016;15:40;MC
2310690;MP;321;0;7529;23/06/2016;08:40;MC;7518;23/06/2016;09:35;MC
2310691;MP;321;0;1623;23/06/2016;17:45;MC;7524;23/06/2016;18:40;MC
2310692;MP;321;0;7525;23/06/2016;19:50;MC;7526;23/06/2016;21:00;MC
2310693;GP;330;2;513;23/06/2016;06:10;LC;306;23/06/2016;11:00;LC
2310694;GP;777;0;475;23/06/2016;14:15;LC;338;23/06/2016;16:35;LC
2310695;GP;330;0;503;23/06/2016;11:25;LC;332;23/06/2016;13:45;LC
2310696;GP;330;2;427;23/06/2016;14:25;LC;322;23/06/2016;19:10;LC
